school_year,dpi_true_id,school_name,accurate_agency_type,school_enrollment,grade_band,overall_rating,overall_score,ly_ach,sch_ach,sch_growth,sch_tgo,sch_ot,prof_count_ELA,prof_count_Mathematics,prof_percent_ELA,prof_percent_Mathematics
2023-24,8001_8124,Veritas High,2r/2x Charter,255,9-12,Meets Expectations,66.3,FALSE,35.5,66.9,58.9,82.7,63,53,0.315,0.265
2023-24,3619_0140,Milwaukee French Immersion,Traditional Public,431,K-5,Meets Expectations,66.2,TRUE,48.7,65.1,62.9,75.1,60,52,0.410958904109589,0.3561643835616438
2023-24,0000_3100,Saint Anthony School,Private,1450,K-12,Meets Expectations,66,FALSE,29.5,66.9,65.7,71.9,254,174,0.24564796905222436,0.16827852998065765
2023-24,0000_1218,Eastbrook Academy,Private,349,K-12,Meets Expectations,65.8,FALSE,58.7,61.3,57.7,84.1,117,94,0.5492957746478874,0.4413145539906103
2023-24,0000_3410,Saint Catherine School,Private,123,K-8,Meets Expectations,65.8,FALSE,18.3,83.1,56.3,53.8,9,9,0.15789473684210525,0.15789473684210525
2023-24,0000_1302,Saint Philip's Lutheran School,Private,92,K-8,Meets Expectations,65.7,FALSE,44.3,64.1,NA,80,12,13,0.35294117647058826,0.38235294117647056
2023-24,0000_6690,Saint Matthias Parish School,Private,143,K-8,Meets Expectations,65.6,TRUE,58.7,59.4,66,77.9,34,24,0.38636363636363635,0.2727272727272727
2023-24,8009_8109,Darrell Lynn Hines Academy,2r/2x Charter,172,K-8,Meets Expectations,65.5,FALSE,24.8,77.4,51.4,66.3,18,15,0.20689655172413793,0.1724137931034483
2023-24,3619_0257,Lowell International Elementary,Traditional Public,206,K-5,Meets Expectations,65.5,FALSE,47.2,66,64.2,69.4,37,36,0.5285714285714286,0.5142857142857142
2023-24,3619_0397,Whitman Elementary,Traditional Public,331,K-8,Meets Expectations,65.5,FALSE,38.6,72.7,54.1,69.5,64,68,0.3062200956937799,0.3253588516746411
2023-24,3619_0334,Honey Creek Elementary,Instrumentality Charter,354,K-5,Meets Expectations,65.4,TRUE,47.5,67.9,52.8,77.1,43,43,0.35537190082644626,0.35537190082644626
2023-24,8001_8121,Seeds of Health Elementary Program,2r/2x Charter,377,K-8,Meets Expectations,65.4,FALSE,32.9,74.6,58.6,62.3,48,53,0.20689655172413793,0.22844827586206898
2023-24,3619_0104,Cass Street Elementary,Traditional Public,281,K-8,Meets Expectations,65.2,FALSE,15.4,81.2,56.4,55,19,15,0.1165644171779141,0.09202453987730061
2023-24,3619_0191,Garland Elementary,Traditional Public,536,K-8,Meets Expectations,65.1,TRUE,37.6,65.1,63.3,72.5,68,68,0.21587301587301588,0.21587301587301588
2023-24,3619_0177,Rogers Street Academy,Traditional Public,570,K-8,Meets Expectations,65.1,FALSE,24.1,75.5,56,63.5,69,66,0.1885245901639344,0.18032786885245902
2023-24,8012_8128,Milwaukee Math and Science Academy,2r/2x Charter,244,K-8,Meets Expectations,64.9,TRUE,28.8,73.6,58.5,63,20,8,0.15267175572519084,0.061068702290076333
2023-24,8008_8106,Milwaukee Academy of Science,2r/2x Charter,1404,K-12,Meets Expectations,64.9,FALSE,21.4,71.7,64.9,61.5,122,121,0.14006888633754305,0.13892078071182548
2023-24,3619_0283,Neeskara Elementary,Traditional Public,371,K-5,Meets Expectations,64.8,TRUE,18.5,80.3,55.7,55.2,16,15,0.09696969696969697,0.09090909090909091
2023-24,3619_0434,Audubon Technology and Communication High,Traditional Public,431,9-12,Meets Expectations,64.7,FALSE,21.7,67,65.4,69.6,57,32,0.18269230769230768,0.10256410256410256
2023-24,3619_0095,Burbank Elementary,Traditional Public,503,K-8,Meets Expectations,64.7,TRUE,22.4,72.7,62.2,61.2,49,34,0.16610169491525423,0.1152542372881356
2023-24,0000_1606,Messmer Catholic Schools,Private,1196,K-12,Meets Expectations,64.6,FALSE,27.7,73.6,62,58.3,150,149,0.199203187250996,0.19787516600265603
2023-24,0000_1304,Blessed Sacrament Catholic School,Private,165,K-8,Meets Expectations,64.4,FALSE,41.2,67,53.9,74.8,43,31,0.38392857142857145,0.2767857142857143
2023-24,0000_1575,Northwest Catholic School,Private,151,K-8,Meets Expectations,64.4,TRUE,27.4,72.7,52.5,68.8,18,16,0.18947368421052632,0.16842105263157894
2023-24,0000_2300,Pius XI Catholic High School,Private,506,9-12,Meets Expectations,64.3,FALSE,54.6,56.5,64.4,85.8,174,140,0.4496124031007752,0.36175710594315247
2023-24,0000_1303,Believers in Christ Christian Academy,Private,161,K-12,Meets Expectations,63.9,TRUE,22.2,67.9,62.8,66.2,16,10,0.16161616161616163,0.10101010101010101
2023-24,3619_0071,Milwaukee School of Languages,Traditional Public,951,6-12,Meets Expectations,63.9,FALSE,35.3,69.8,57.8,69,259,161,0.3390052356020942,0.2107329842931937
2023-24,3619_0204,Wedgewood Park School,Traditional Public,552,6-8,Meets Expectations,63.7,FALSE,32.3,70.8,56.1,64.7,157,118,0.31910569105691056,0.23983739837398374
2023-24,8027_8152,Carmen Middle School South,2r/2x Charter,206,6-8,Meets Expectations,63.6,FALSE,34.5,73.6,48.3,66.6,53,54,0.27040816326530615,0.2755102040816326
2023-24,8011_8127,Dr Howard Fuller Collegiate Academy,2r/2x Charter,312,9-12,Meets Expectations,63.5,FALSE,14.6,61.3,65.1,79.8,17,15,0.08762886597938144,0.07731958762886598
2023-24,3619_0232,Kagel Elementary,Traditional Public,267,K-8,Meets Expectations,63.1,TRUE,17.5,73.6,52.9,63.6,15,8,0.13274336283185842,0.07079646017699115
2023-24,3619_0093,Bruce Elementary,Traditional Public,286,K-5,Meets Expectations,62.9,TRUE,18.5,66.9,NA,65.6,7,4,0.1044776119402985,0.05970149253731343
2023-24,0000_1774,Kingdom Prep Lutheran High School,Private,140,9-12,Meets Expectations,62.4,FALSE,17.6,70.8,62.9,53.7,7,5,0.08974358974358974,0.0641025641025641
2023-24,3619_0114,Clemens Elementary,Traditional Public,309,K-5,Meets Expectations,62.3,TRUE,15.3,76.4,59,49.7,7,9,0.050724637681159424,0.06521739130434782
